"Unemployment"
8.8
8.7
8.4
7.7
7.9
8.4
8.6
8.2
7.6
7.5
7.4
7.6
8.5
8.1
7.6
7.1
7.3
7.8
7.7
7.3
7
7
6.6
6.5
7
7
6.8
5.9
6.1
6.3
6.5
6.3
5.7
5.5
5.5
5.4
6.1
5.8
5.6
5.1
5.3
5.5
5.6
5.2
4.9
4.8
4.8
4.8
5.3
5.2
5.1
4.7
4.5
5.1
5.1
5
4.8
4.7
4.4
4.5
5.1
4.9
4.6
